dateRep,deaths,,,
31/12/2019,0,,,
01/01/2020,0,,,
02/01/2020,0,,,
03/01/2020,0,,,
04/01/2020,0,,,
05/01/2020,0,,,
06/01/2020,0,,,
07/01/2020,0,,,
08/01/2020,0,,,
09/01/2020,0,,,
10/01/2020,0,,,`
11/01/2020,0,,,
12/01/2020,0,,,
13/01/2020,0,,,
14/01/2020,0,,,
15/01/2020,0,,,
16/01/2020,0,,,
17/01/2020,0,,,
18/01/2020,0,,,
19/01/2020,0,,,
20/01/2020,0,,,
21/01/2020,0,,,
22/01/2020,0,,,
23/01/2020,0,,,
24/01/2020,0,,,
25/01/2020,0,,,
26/01/2020,0,,,
27/01/2020,0,,,
28/01/2020,0,,,
29/01/2020,0,,,
30/01/2020,0,,,
31/01/2020,0,,,
01/02/2020,0,,,
02/02/2020,0,,,
03/02/2020,0,,,
04/02/2020,0,,,
05/02/2020,0,,,
06/02/2020,0,,,
07/02/2020,0,,,
08/02/2020,0,,,
09/02/2020,0,,,
10/02/2020,0,,,
11/02/2020,0,,,
12/02/2020,0,,,
13/02/2020,0,,,
14/02/2020,0,,,
15/02/2020,0,,,
16/02/2020,0,,,
17/02/2020,0,,,
18/02/2020,0,,,
19/02/2020,0,,,
20/02/2020,0,,,
21/02/2020,0,,,
22/02/2020,0,,,
23/02/2020,0,,,
24/02/2020,0,,,
25/02/2020,0,,,
26/02/2020,0,,,
27/02/2020,0,,,
28/02/2020,0,,,
29/02/2020,0,,,
01/03/2020,0,,,
02/03/2020,0,,,
03/03/2020,0,,,
04/03/2020,0,,,
05/03/2020,0,,,
06/03/2020,1,,,
07/03/2020,0,,,
08/03/2020,1,,,
09/03/2020,1,,,
10/03/2020,2,,,
11/03/2020,1,,,
12/03/2020,0,,,
13/03/2020,4,,,
14/03/2020,0,,,
15/03/2020,11,,,
16/03/2020,14,,,
17/03/2020,20,,,
18/03/2020,5,,,
19/03/2020,43,,,
20/03/2020,41,,,
21/03/2020,33,,,
22/03/2020,56,,,
23/03/2020,48,,,
24/03/2020,54,,,
25/03/2020,87,,,
26/03/2020,41,,,
27/03/2020,115,,,
28/03/2020,181,,,
29/03/2020,260,,,
30/03/2020,209,,,
31/03/2020,180,,,
01/04/2020,381,,,
02/04/2020,743,,,
03/04/2020,389,,,
04/04/2020,684,,,
05/04/2020,708,,,
06/04/2020,621,,,
07/04/2020,439,,,
08/04/2020,786,,,
09/04/2020,938,,,
10/04/2020,881,,,
11/04/2020,980,,,
12/04/2020,917,,,
13/04/2020,737,,,
14/04/2020,717,,,
15/04/2020,778,,,
16/04/2020,761,,,
17/04/2020,861,,,
18/04/2020,847,,,
19/04/2020,888,,,
20/04/2020,596,,,
21/04/2020,449,,,
22/04/2020,828,,,
23/04/2020,763,,,
24/04/2020,638,,,
25/04/2020,768,,,
26/04/2020,813,,,
27/04/2020,413,,,