dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
27/04/2020,4463,413,United_Kingdom,UK,GBR,66488991,Europe
26/04/2020,4913,813,United_Kingdom,UK,GBR,66488991,Europe
25/04/2020,5386,768,United_Kingdom,UK,GBR,66488991,Europe
24/04/2020,4583,638,United_Kingdom,UK,GBR,66488991,Europe
23/04/2020,4451,763,United_Kingdom,UK,GBR,66488991,Europe
22/04/2020,4301,828,United_Kingdom,UK,GBR,66488991,Europe
21/04/2020,4676,449,United_Kingdom,UK,GBR,66488991,Europe
20/04/2020,5850,596,United_Kingdom,UK,GBR,66488991,Europe
19/04/2020,5525,888,United_Kingdom,UK,GBR,66488991,Europe
18/04/2020,5599,847,United_Kingdom,UK,GBR,66488991,Europe
17/04/2020,4617,861,United_Kingdom,UK,GBR,66488991,Europe
16/04/2020,4603,761,United_Kingdom,UK,GBR,66488991,Europe
15/04/2020,5252,778,United_Kingdom,UK,GBR,66488991,Europe
14/04/2020,4342,717,United_Kingdom,UK,GBR,66488991,Europe
13/04/2020,5288,737,United_Kingdom,UK,GBR,66488991,Europe
12/04/2020,8719,917,United_Kingdom,UK,GBR,66488991,Europe
11/04/2020,5195,980,United_Kingdom,UK,GBR,66488991,Europe
10/04/2020,4344,881,United_Kingdom,UK,GBR,66488991,Europe
09/04/2020,5491,938,United_Kingdom,UK,GBR,66488991,Europe
08/04/2020,3634,786,United_Kingdom,UK,GBR,66488991,Europe
07/04/2020,3802,439,United_Kingdom,UK,GBR,66488991,Europe
06/04/2020,5903,621,United_Kingdom,UK,GBR,66488991,Europe
05/04/2020,3735,708,United_Kingdom,UK,GBR,66488991,Europe
04/04/2020,4450,684,United_Kingdom,UK,GBR,66488991,Europe
03/04/2020,4244,389,United_Kingdom,UK,GBR,66488991,Europe
02/04/2020,4324,743,United_Kingdom,UK,GBR,66488991,Europe
01/04/2020,3009,381,United_Kingdom,UK,GBR,66488991,Europe
31/03/2020,2619,180,United_Kingdom,UK,GBR,66488991,Europe
30/03/2020,2433,209,United_Kingdom,UK,GBR,66488991,Europe
29/03/2020,2546,260,United_Kingdom,UK,GBR,66488991,Europe
28/03/2020,2885,181,United_Kingdom,UK,GBR,66488991,Europe
27/03/2020,2129,115,United_Kingdom,UK,GBR,66488991,Europe
26/03/2020,1452,41,United_Kingdom,UK,GBR,66488991,Europe
25/03/2020,1427,87,United_Kingdom,UK,GBR,66488991,Europe
24/03/2020,967,54,United_Kingdom,UK,GBR,66488991,Europe
23/03/2020,665,48,United_Kingdom,UK,GBR,66488991,Europe
22/03/2020,1035,56,United_Kingdom,UK,GBR,66488991,Europe
21/03/2020,706,33,United_Kingdom,UK,GBR,66488991,Europe
20/03/2020,647,41,United_Kingdom,UK,GBR,66488991,Europe
19/03/2020,680,43,United_Kingdom,UK,GBR,66488991,Europe
18/03/2020,407,5,United_Kingdom,UK,GBR,66488991,Europe
17/03/2020,152,20,United_Kingdom,UK,GBR,66488991,Europe
16/03/2020,251,14,United_Kingdom,UK,GBR,66488991,Europe
15/03/2020,433,11,United_Kingdom,UK,GBR,66488991,Europe
14/03/2020,117,0,United_Kingdom,UK,GBR,66488991,Europe
13/03/2020,134,4,United_Kingdom,UK,GBR,66488991,Europe
12/03/2020,83,0,United_Kingdom,UK,GBR,66488991,Europe
11/03/2020,52,1,United_Kingdom,UK,GBR,66488991,Europe
10/03/2020,48,2,United_Kingdom,UK,GBR,66488991,Europe
09/03/2020,67,1,United_Kingdom,UK,GBR,66488991,Europe
08/03/2020,43,1,United_Kingdom,UK,GBR,66488991,Europe
07/03/2020,48,0,United_Kingdom,UK,GBR,66488991,Europe
06/03/2020,30,1,United_Kingdom,UK,GBR,66488991,Europe
05/03/2020,34,0,United_Kingdom,UK,GBR,66488991,Europe
04/03/2020,11,0,United_Kingdom,UK,GBR,66488991,Europe
03/03/2020,4,0,United_Kingdom,UK,GBR,66488991,Europe
02/03/2020,13,0,United_Kingdom,UK,GBR,66488991,Europe
01/03/2020,5,0,United_Kingdom,UK,GBR,66488991,Europe
29/02/2020,2,0,United_Kingdom,UK,GBR,66488991,Europe
28/02/2020,3,0,United_Kingdom,UK,GBR,66488991,Europe
27/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
26/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
25/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
24/02/2020,4,0,United_Kingdom,UK,GBR,66488991,Europe
23/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
22/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
21/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
20/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
19/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
18/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
17/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
16/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
15/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
14/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
13/02/2020,1,0,United_Kingdom,UK,GBR,66488991,Europe
12/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
11/02/2020,4,0,United_Kingdom,UK,GBR,66488991,Europe
10/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
09/02/2020,1,0,United_Kingdom,UK,GBR,66488991,Europe
08/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
07/02/2020,1,0,United_Kingdom,UK,GBR,66488991,Europe
06/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
05/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
04/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
03/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
02/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
01/02/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
31/01/2020,2,0,United_Kingdom,UK,GBR,66488991,Europe
30/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
29/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
28/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
27/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
26/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
25/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
24/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
23/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
22/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
21/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
20/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
19/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
18/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
17/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
16/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
15/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
14/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
13/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
12/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
11/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
10/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
09/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
08/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
07/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
06/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
05/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
04/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
03/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
02/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
01/01/2020,0,0,United_Kingdom,UK,GBR,66488991,Europe
31/12/2019,0,0,United_Kingdom,UK,GBR,66488991,Europe